question_id,question,reference_answer,reference_source,reference_locator,reference_date,topic,subtopic,temporal_candidate,ambiguity_candidate,automatic_failures,reviewer_decision,reviewer_note
ADQ-b848dd75752e,Does donepezil help improve cognitive function in people with mild cognitive impairment?,There are two included studies.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2006 Jul 19;(3):CD006104. doi: 10.1002/14651858.CD006104.,PMID:16856114 | CD006104 | doi:10.1002/14651858.CD006104,2006-07,diagnosis,diagnostic_accuracy,False,False,,,
ADQ-c2b84aae6dfc,Does lowering blood pressure help prevent dementia in people with hypertension?,There was no convincing evidence from the trials identified that blood pressure lowering prevents the development of dementia or cognitive impairment in hypertensive patients with no apparent prior cerebrovascular disease.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2006 Apr 19;(2):CD004034. doi: 10.1002/14651858.CD004034.pub2.,PMID:16625595 | CD004034.pub2 | doi:10.1002/14651858.CD004034.pub2,2006-04,prevention,risk_reduction,True,False,,,
ADQ-9fa3d7c73c53,Is metrifonate effective for improving symptoms in patients with Alzheimer's disease?,"Metrifonate given once per day appears to be related to clinical response in cognition, global improvement, and activities of daily living in patients with mild to moderate Alzheimer's disease.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2006 Apr 19;(2):CD003155. doi: 10.1002/14651858.CD003155.pub3.,PMID:16625573 | CD003155.pub3 | doi:10.1002/14651858.CD003155.pub3,2006-04,disease_course,progression,True,False,,,
ADQ-00c9d3d98a10,Does memantine provide any benefit for people with dementia?,Memantine has a small beneficial effect at six months in moderate to severe AD.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2006 Apr 19;(2):CD003154. doi: 10.1002/14651858.CD003154.pub5.,PMID:16625572 | CD003154.pub5 | doi:10.1002/14651858.CD003154.pub5,2006-04,treatment,pharmacological,True,False,,,
ADQ-0d3b934ecb62,Are cholinesterase inhibitors effective for treating mild to moderate Alzheimer's disease?,The three cholinesterase inhibitors are efficacious for mild to moderate Alzheimer's disease.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2006 Jan 25;2006(1):CD005593. doi: 10.1002/14651858.CD005593.,PMID:16437532 | CD005593 | doi:10.1002/14651858.CD005593,2006-01,treatment,pharmacological,False,False,,,
ADQ-e4f94f853e3f,Is clioquinol effective in treating cognitive impairment in Alzheimer's disease?,It is not clear from the trial that clioquinol shows any positive clinical result on patients with AD.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2006 Jan 25;(1):CD005380. doi: 10.1002/14651858.CD005380.pub2.,PMID:16437529 | CD005380.pub2 | doi:10.1002/14651858.CD005380.pub2,2006-01,treatment,pharmacological,True,True,,,
ADQ-3d7734df06bb,Does galantamine improve cognitive function in patients with vascular dementia?,Limited data were available when considering the impact of galantamine on vascular dementia or vascular cognitive impairment.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2006 Jan 25;2006(1):CD004746. doi: 10.1002/14651858.CD004746.pub2.,PMID:16437493 | CD004746.pub2 | doi:10.1002/14651858.CD004746.pub2,2006-01,treatment,pharmacological,True,True,,,
ADQ-0b4ae985106f,"Do atypical antipsychotics help reduce aggression, agitation, and psychosis in Alzheimer's patients?","Evidence suggests that risperidone and olanzapine are useful in reducing aggression and risperidone reduces psychosis, but both are associated with serious adverse cerebrovascular events and extra-pyramidal symptoms.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2006 Jan 25;2006(1):CD003476. doi: 10.1002/14651858.CD003476.pub2.,PMID:16437455 | CD003476.pub2 | doi:10.1002/14651858.CD003476.pub2,2006-01,management,neuropsychiatric_symptoms,True,False,,,
ADQ-57b72f57a492,Does galantamine have positive effects on patients with mild cognitive impairment or Alzheimer's disease?,"Subjects in these trials were similar to those seen in earlier anti dementia AD trials, consisting primarily of mildly to moderately impaired outpatients.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2006 Jan 25;2006(1):CD001747. doi: 10.1002/14651858.CD001747.pub3.,PMID:16437436 | CD001747.pub3 | doi:10.1002/14651858.CD001747.pub3,2006-01,treatment,pharmacological,True,False,,,
ADQ-4c684b482b73,Does donepezil improve the well-being of patients with dementia due to Alzheimer's disease?,"People with mild, moderate or severe dementia due to Alzheimer's disease treated for periods of 12, 24 or 52 weeks with donepezil experienced benefits in cognitive function, activities of daily living and behaviour.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2006 Jan 25;(1):CD001190. doi: 10.1002/14651858.CD001190.pub2.,PMID:16437430 | CD001190.pub2 | doi:10.1002/14651858.CD001190.pub2,2006-01,treatment,pharmacological,True,False,,,
ADQ-26ca63f167ee,Does memantine have a beneficial effect on dementia patients?,Published data suggest a small beneficial effect of memantine at six months in moderate to severe AD.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2005 Jul 20;(3):CD003154. doi: 10.1002/14651858.CD003154.pub4.,PMID:16034889 | CD003154.pub4 | doi:10.1002/14651858.CD003154.pub4,2005-07,treatment,pharmacological,True,False,,,
ADQ-c8c85ae6f148,Is rivastigmine effective in treating vascular cognitive impairment?,From existing trial data there is some evidence of benefit of rivastigmine in vascular cognitive impairment.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2005 Apr 18;(2):CD004744. doi: 10.1002/14651858.CD004744.pub2.,PMID:15846730 | CD004744.pub2 | doi:10.1002/14651858.CD004744.pub2,2005-04,treatment,pharmacological,True,False,,,
ADQ-a284d6f2d590,Is trazodone effective and safe for treating behavioral issues in people with dementia?,There is insufficient evidence to recommend the use of trazodone as a treatment for behavioural and psychological manifestations of dementia.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2004 Oct 18;(4):CD004990. doi: 10.1002/14651858.CD004990.,PMID:15495135 | CD004990 | doi:10.1002/14651858.CD004990,2004-10,diagnosis,diagnostic_accuracy,False,False,,,
ADQ-5b40bff463c9,Does memantine improve symptoms in patients with Alzheimer's or vascular dementia?,:Memantine 20 mg/day caused a clinically noticeable reduction in deterioration over 28 weeks in patients with moderate to severe Alzheimer disease.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2004 Oct 18;(4):CD003154. doi: 10.1002/14651858.CD003154.pub2.,PMID:15495043 | CD003154.pub2 | doi:10.1002/14651858.CD003154.pub2,2004-10,treatment,pharmacological,True,False,,,
ADQ-b5d49cbb5553,Does galantamine have positive effects on patients with Alzheimer's disease?,"Subjects in these trials were similar to those seen in earlier anti dementia AD trials, consisting primarily of mildly to moderately impaired outpatients.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2004 Oct 18;(4):CD001747. doi: 10.1002/14651858.CD001747.pub2.,PMID:15495017 | CD001747.pub2 | doi:10.1002/14651858.CD001747.pub2,2004-10,treatment,pharmacological,True,False,,,
ADQ-37b7f87b907d,Is velnacrine effective and safe for treating Alzheimer's disease?,There has been no research into the use of velnacrine as a cognitive enhancer in the treatment of Alzheimer's disease since 1994.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2004;(2):CD004748. doi: 10.1002/14651858.CD004748.,PMID:15106259 | CD004748 | doi:10.1002/14651858.CD004748,2004,treatment,pharmacological,False,False,,,
ADQ-9031883a8237,Does donepezil improve cognitive function in people with vascular cognitive impairment?,"Evidence from the available studies support the benefit of donepezil in improving cognition function, clinical global impression and activities of daily living in patients with probable or possible mild to moderate vascular cognitive...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2004;(1):CD004395. doi: 10.1002/14651858.CD004395.pub2.,PMID:14974068 | CD004395.pub2 | doi:10.1002/14651858.CD004395.pub2,2004,treatment,pharmacological,True,False,,,
ADQ-ed1b1dec0052,Is alpha lipoic acid effective in treating dementia?,"In the absence of randomized double-blind placebo-controlled trials investigating ALA for dementia, no evidence exists to explore any potential effects.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2004;(1):CD004244. doi: 10.1002/14651858.CD004244.pub2.,PMID:14974062 | CD004244.pub2 | doi:10.1002/14651858.CD004244.pub2,2004,treatment,pharmacological,True,True,,,
ADQ-c02aaa826d93,Can folic acid supplementation help prevent cognitive decline in elderly individuals?,There was no beneficial effect of 750 mcg of folic acid per day on measures of cognition or mood in older healthy women.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;(4):CD004514. doi: 10.1002/14651858.CD004514.,PMID:14584018 | CD004514 | doi:10.1002/14651858.CD004514,2003,prevention,risk_reduction,False,False,,,
ADQ-913109be87ae,Does vitamin B6 supplementation reduce the risk of cognitive impairment in older adults?,"For the older people included in one of the two trials included in the review, oral vitamin B6 supplements improved biochemical indices of vitamin B6 status, but potential effects on blood homocysteine levels were not assessed in either...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;(4):CD004393. doi: 10.1002/14651858.CD004393.,PMID:14584010 | CD004393 | doi:10.1002/14651858.CD004393,2003,diagnosis,diagnostic_accuracy,False,False,,,
ADQ-91c2f07bcd6f,Do cognitive training and rehabilitation interventions improve memory functioning in early-stage Alzheimer's disease or vascular dementia?,"The present findings do not provide strong support for the use of cognitive training interventions for people with early-stage AD or vascular dementia, although these findings must be viewed with caution due to the limited number of RCTs...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;(4):CD003260. doi: 10.1002/14651858.CD003260.,PMID:14583963 | CD003260 | doi:10.1002/14651858.CD003260,2003,treatment,non_pharmacological,False,True,,,
ADQ-3c429a38313a,Does vitamin B12 supplementation improve cognitive function in elderly people?,Evidence of any efficacy of vitamin B12 in improving the cognitive function of people with dementia and low serum B12 levels is insufficient.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;(3):CD004326. doi: 10.1002/14651858.CD004326.,PMID:12918012 | CD004326 | doi:10.1002/14651858.CD004326,2003,prevention,risk_reduction,False,False,,,
ADQ-6d4d6b4a05f1,Can transcutaneous electrical nerve stimulation (TENS) improve symptoms of dementia?,"Although a number of studies suggest that TENS may produce short lived improvements in some neuropsychological or behavioural aspects of dementia, the limited presentation and availability of data from these studies does not allow definite...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;2003(3):CD004032. doi: 10.1002/14651858.CD004032.,PMID:12917999 | CD004032 | doi:10.1002/14651858.CD004032,2003,treatment,non_pharmacological,False,True,,,
ADQ-066cbb988106,Does memantine improve cognitive function in patients with Alzheimer's disease or vascular dementia?,There is a beneficial effect of memantine (20 mg/day) for patients with moderate to severe Alzheimer disease on cognition and functional decline but not in the clinical impression of change.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;(3):CD003154. doi: 10.1002/14651858.CD003154.,PMID:12917950 | CD003154 | doi:10.1002/14651858.CD003154,2003,treatment,pharmacological,False,False,,,
ADQ-3bb540a2dd92,Does lecithin help in treating dementia or cognitive impairment?,Evidence from randomized trials does not support the use of lecithin in the treatment of patients with dementia.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;(3):CD001015. doi: 10.1002/14651858.CD001015.,PMID:12917896 | CD001015 | doi:10.1002/14651858.CD001015,2003,treatment,pharmacological,False,False,,,
ADQ-0d06ba3b3c4c,Is ibuprofen effective in treating Alzheimer's disease?,No evidence yet exists from randomized double-blind and placebo-controlled trials on whether ibuprofen is efficacious for patients diagnosed as having Alzheimer's disease.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;(2):CD004031. doi: 10.1002/14651858.CD004031.,PMID:12804498 | CD004031 | doi:10.1002/14651858.CD004031,2003,treatment,pharmacological,False,True,,,
ADQ-4ecba3717252,Is Acetyl-l-carnitine effective in treating dementia?,"There is evidence for benefit of ALC on clinical global impression, but there was no evidence using objective assessments in any other area of outcome.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;2003(2):CD003158. doi: 10.1002/14651858.CD003158.,PMID:12804452 | CD003158 | doi:10.1002/14651858.CD003158,2003,treatment,pharmacological,False,False,,,
ADQ-a0ff5baee806,Is propentofylline effective and safe for treating dementia?,"There is limited evidence that propentofylline might benefit cognition, global function and activities of daily living of people with Alzheimer's disease and/or vascular dementia.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;(2):CD002853. doi: 10.1002/14651858.CD002853.,PMID:12804440 | CD002853 | doi:10.1002/14651858.CD002853,2003,treatment,pharmacological,False,False,,,
ADQ-ec37e7e55327,Is memantine effective and safe for treating dementia in older adults?,"Memantine is a safe drug and may be useful for treating Alzheimer's, vascular,and mixed dementia of all severities.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;(1):CD003154. doi: 10.1002/14651858.CD003154.,PMID:12535459 | CD003154 | doi:10.1002/14651858.CD003154,2003,treatment,pharmacological,False,False,,,
ADQ-db2ec001ac14,Is vinpocetine effective for treating cognitive impairment in dementia patients?,"Although the basic science is interesting, the evidence for beneficial effect of vinpocetine on patients with dementia is inconclusive and does not support clinical use.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;2003(1):CD003119. doi: 10.1002/14651858.CD003119.,PMID:12535455 | CD003119 | doi:10.1002/14651858.CD003119,2003,treatment,pharmacological,False,False,,,
ADQ-703385fe70e7,Does selegiline improve the well-being of patients with Alzheimer's disease?,"Despite its initial promise, ie the potential neuroprotective properties, and its role in the treatment of Parkinson's disease sufferers, selegiline for Alzheimer's disease has proved disappointing.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2003;(1):CD000442. doi: 10.1002/14651858.CD000442.,PMID:12535396 | CD000442 | doi:10.1002/14651858.CD000442,2003,general,unclassified,False,False,,,
ADQ-dd542aa0a7d8,Is nimodipine effective in treating dementia symptoms in Alzheimer's and cerebrovascular disease?,"Nimodipine can be of some benefit in the treatment of patients with features of dementia due to unclassified disease or to Alzheimer's disease, cerebrovascular disease, or mixed Alzheimer's and cerebrovascular disease.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2002;(3):CD000147. doi: 10.1002/14651858.CD000147.,PMID:12137606 | CD000147 | doi:10.1002/14651858.CD000147,2002,treatment,pharmacological,False,False,,,
ADQ-79083820f4f2,Is indomethacin effective in treating Alzheimer's disease?,"On the basis of this one trial and subsequent analysis of data as reported by the authors, indomethacin cannot be recommended for the treatment of mild to moderate severity Alzheimer's disease.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2002;2002(2):CD003673. doi: 10.1002/14651858.CD003673.,PMID:12076498 | CD003673 | doi:10.1002/14651858.CD003673,2002,treatment,pharmacological,False,False,,,
ADQ-a3393701b10e,Is D-cycloserine effective for treating Alzheimer's disease?,The lack of a positive effect of D-cycloserine on cognitive outcomes in controlled clinical trials with statistical power high enough to detect a clinically meaningful effect means that D-cycloserine has no place in the treatment of...,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2002;2002(2):CD003153. doi: 10.1002/14651858.CD003153.,PMID:12076471 | CD003153 | doi:10.1002/14651858.CD003153,2002,treatment,pharmacological,False,False,,,
ADQ-d7e26f001999,Does statin therapy reduce the risk of Alzheimer's disease?,: There is no good evidence to recommend statins for reducing the risk of Alzheimer's disease.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2001;(4):CD003160. doi: 10.1002/14651858.CD003160.,PMID:11687176 | CD003160 | doi:10.1002/14651858.CD003160,2001,treatment,non_pharmacological,False,False,,,
ADQ-6b236b38ecb9,Is nicergoline effective in treating dementia and cognitive decline in older adults?,The clinical studies on nicergoline were carried out with diverse criteria and modalities of evaluation.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2001;2001(4):CD003159. doi: 10.1002/14651858.CD003159.,PMID:11687175 | CD003159 | doi:10.1002/14651858.CD003159,2001,treatment,pharmacological,False,False,,,
ADQ-75a8b9996b8e,Does galantamine improve cognitive function in patients with Alzheimer's disease?,"Patients in these trials were similar to those seen in earlier antidementia AD trials, and consisted primarily of mildly to moderately impaired outpatients.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2001;(4):CD001747. doi: 10.1002/14651858.CD001747.,PMID:11687119 | CD001747 | doi:10.1002/14651858.CD001747,2001,treatment,pharmacological,False,False,,,
ADQ-35042a0e0518,Is nimodipine effective for treating symptoms of dementia?,"However, as so few of the trials presented data in a format suitable for pooling, the results of this review may be modified when further data from all relevant trials are included.",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2001;(1):CD000147. doi: 10.1002/14651858.CD000147.,PMID:11279679 | CD000147 | doi:10.1002/14651858.CD000147,2001,treatment,pharmacological,False,False,,,
ADQ-5a47aa491771,Is physostigmine effective for treating symptoms of Alzheimer's disease?,The evidence of effectiveness of physostigmine for the symptomatic treatment of Alzheimer's disease is limited.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2001;2001(2):CD001499. doi: 10.1002/14651858.CD001499.,PMID:11405996 | CD001499 | doi:10.1002/14651858.CD001499,2001,epidemiology,risk_and_frequency,False,False,,,
ADQ-fea5e481277a,Does thiamine have an effect on Alzheimer's disease?,It is not possible to draw any conclusions from this review.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2001;(2):CD001498. doi: 10.1002/14651858.CD001498.,PMID:11405995 | CD001498 | doi:10.1002/14651858.CD001498,2001,general,unclassified,False,True,,,
ADQ-fa0be438d5cd,Is piracetam effective for treating dementia or cognitive impairment?,At this stage the evidence available from the published literature does not support the use of piracetam in the treatment of people with dementia or cognitive impairment.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2001;(2):CD001011. doi: 10.1002/14651858.CD001011.,PMID:11405971 | CD001011 | doi:10.1002/14651858.CD001011,2001,treatment,pharmacological,False,False,,,
ADQ-b9c484e060fe,Is hydergine effective in treating patients with possible dementia?,"As in an earlier systematic review, we found hydergine to show significant treatment effects when assessed by either global ratings or comprehensive rating scales (based here on a smaller set of trials than in the earlier published...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2001;(2):CD000359. doi: 10.1002/14651858.CD000359.,PMID:11405961 | CD000359 | doi:10.1002/14651858.CD000359,2001,treatment,pharmacological,False,True,,,
ADQ-9f31485c8786,Does vitamin E treatment have a beneficial effect on people with Alzheimer's disease?,There is insufficient evidence of efficacy of vitamin E in the treatment of people with with Alzheimer's disease.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2000;(4):CD002854. doi: 10.1002/14651858.CD002854.,PMID:11034775 | CD002854 | doi:10.1002/14651858.CD002854,2000,treatment,pharmacological,False,True,,,
ADQ-f41e610d5844,Does donepezil improve the well-being of patients with mild or moderate Alzheimer's disease?,"In selected patients with mild or moderate Alzheimer's disease treated for periods of 12, 24 or 52 weeks, donepezil produced modest improvements in cognitive function and study clinicians rated global clinical state more positively in...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2000;(4):CD001190. doi: 10.1002/14651858.CD001190.,PMID:11034704 | CD001190 | doi:10.1002/14651858.CD001190,2000,treatment,pharmacological,False,False,,,
ADQ-f16bc92a0eec,Is thiamine an effective treatment for Alzheimer's disease?,The data are so poor and sparse that it is difficult to state almost anything of its effect in Alzheimer's disease.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2000;(2):CD001498. doi: 10.1002/14651858.CD001498.,PMID:10796655 | CD001498 | doi:10.1002/14651858.CD001498,2000,treatment,pharmacological,False,False,,,
ADQ-cdafa5328f80,Does hydergine have a significant effect on patients with possible dementia?,"As in an earlier systematic review, we found hydergine to show significant treatment effects when assessed by either global ratings or comprehensive rating scales (based here on a smaller set of trials than in the earlier published...",Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2000;2000(2):CD000359. doi: 10.1002/14651858.CD000359.,PMID:10796534 | CD000359 | doi:10.1002/14651858.CD000359,2000,general,unclassified,False,False,,,
ADQ-7474b2be5720,Does DHEA administration improve psychological well-being or cognitive function in older adults or individuals with dementia?,The data at present offer limited support for improvement in a sense of well-being following DHEA treatment.,Cochrane Database of Systematic Reviews; Cochrane Database Syst Rev. 2000;(2):CD000304. doi: 10.1002/14651858.CD000304.,PMID:10796526 | CD000304 | doi:10.1002/14651858.CD000304,2000,general,unclassified,False,True,,,
ADQ-4c5ced141d11,What is (are) Alzheimer disease ?,"Alzheimer disease (AD) is a degenerative disease of the brain that causes gradual loss of memory, judgment, and the ability to function socially.","NIH GARD (via MedQuAD, CC BY 4.0)",MedQuAD:2_GARD_QA/0000269 | qid:0000269-1 | CUI:C0002395 | https://rarediseases.info.nih.gov/gard/10254/alzheimer-disease,2026-09,disease_characteristics,definition,False,True,,,
ADQ-cde679d28855,"What is (are) Early-onset, autosomal dominant Alzheimer disease ?","Early-onset, autosomal dominant Alzheimer disease is a form of Alzheimer disease (AD) that develops before the age of 65.","NIH GARD (via MedQuAD, CC BY 4.0)",MedQuAD:2_GARD_QA/0002013 | qid:0002013-1 | CUI:C0002395 | https://rarediseases.info.nih.gov/gard/12798/early-onset-autosomal-dominant-alzheimer-disease,2026-09,disease_characteristics,definition,False,True,,,
ADQ-c53d5f40b0ba,"Is Early-onset, autosomal dominant Alzheimer disease inherited ?","Early-onset, autosomal dominant Alzheimer disease is inherited in an autosomal dominant manner.","NIH GARD (via MedQuAD, CC BY 4.0)",MedQuAD:2_GARD_QA/0002013 | qid:0002013-2 | CUI:C0002395 | https://rarediseases.info.nih.gov/gard/12798/early-onset-autosomal-dominant-alzheimer-disease,2026-09,mechanism,genetics,False,False,,,
ADQ-d322df9fbd1e,How many people are affected by Alzheimer disease ?,Alzheimer disease currently affects an estimated 2.4 million to 4.5 million Americans.,"NIH GHR (via MedQuAD, CC BY 4.0)",MedQuAD:3_GHR_QA/0000048 | qid:0000048-2 | CUI:C0002395 | https://ghr.nlm.nih.gov/condition/alzheimer-disease,2026-09,epidemiology,risk_and_frequency,False,False,,,
ADQ-68e24e06906f,What are the genetic changes related to Alzheimer disease ?,Most cases of early-onset Alzheimer disease are caused by gene mutations that can be passed from parent to child.,"NIH GHR (via MedQuAD, CC BY 4.0)",MedQuAD:3_GHR_QA/0000048 | qid:0000048-3 | CUI:C0002395 | https://ghr.nlm.nih.gov/condition/alzheimer-disease,2026-09,mechanism,genetics,False,False,,,
ADQ-79e66403c45c,Is Alzheimer disease inherited ?,"The early-onset form of Alzheimer disease is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.","NIH GHR (via MedQuAD, CC BY 4.0)",MedQuAD:3_GHR_QA/0000048 | qid:0000048-4 | CUI:C0002395 | https://ghr.nlm.nih.gov/condition/alzheimer-disease,2026-09,mechanism,genetics,False,False,,,
ADQ-fbc28973801a,What are the treatments for Alzheimer disease ?,"These resources address the diagnosis or management of Alzheimer disease: - Alzheimer's Disease Research Center, Washington University School of Medicine - Gene Review: Gene Review: Alzheimer Disease Overview - Gene Review: Gene Review:...","NIH GHR (via MedQuAD, CC BY 4.0)",MedQuAD:3_GHR_QA/0000048 | qid:0000048-5 | CUI:C0002395 | https://ghr.nlm.nih.gov/condition/alzheimer-disease,2026-09,treatment,pharmacological,False,False,,,
ADQ-b255b8b7cecb,What is (are) Alzheimer's Caregivers ?,Caring for someone who has Alzheimer's disease (AD) can be stressful and overwhelming.,"NIH MPlusHealthTopics (via MedQuAD, CC BY 4.0)",MedQuAD:4_MPlus_Health_Topics_QA/0000024 | qid:0000024-1 | CUI:C0002395 | https://www.nlm.nih.gov/medlineplus/alzheimerscaregivers.html,2026-09,management,caregiving,False,True,,,
ADQ-75f93f8a9cb7,What is (are) Alzheimer's Disease ?,Alzheimer's disease (AD) is the most common form of dementia among older people.,"NIH MPlusHealthTopics (via MedQuAD, CC BY 4.0)",MedQuAD:4_MPlus_Health_Topics_QA/0000025 | qid:0000025-1 | CUI:C0002395 | https://www.nlm.nih.gov/medlineplus/alzheimersdisease.html,2026-09,disease_characteristics,definition,False,True,,,
ADQ-e2ca9eeb16e0,What is the outlook for Alzheimer's Disease ?,"In very few families, people develop AD in their 30s, 40s, and 50s.","NIH NINDS (via MedQuAD, CC BY 4.0)",MedQuAD:6_NINDS_QA/0000017 | qid:0000017-3 | CUI:C0002395 | http://www.ninds.nih.gov/disorders/alzheimersdisease/alzheimersdisease.htm,2026-09,disease_course,progression,False,False,,,
ADQ-402df5af816d,How to diagnose Alzheimer's Caregiving ?,"Now that your family member or friend has received a diagnosis of Alzheimers disease, its important to learn as much as you can about the disease and how to care for someone who has it.","NIH NIHSeniorHealth (via MedQuAD, CC BY 4.0)",MedQuAD:7_SeniorHealth_QA/0000003 | qid:0000003-1 | CUI:C0002395 | http://nihseniorhealth.gov/alzheimerscare/toc.html,2026-09,management,caregiving,False,False,,,
ADQ-a9ce14e62a0c,What is (are) Alzheimer's Caregiving ?,Alzheimers disease is an illness of the brain.,"NIH NIHSeniorHealth (via MedQuAD, CC BY 4.0)",MedQuAD:7_SeniorHealth_QA/0000003 | qid:0000003-12 | CUI:C0002395 | http://nihseniorhealth.gov/alzheimerscare/toc.html,2026-09,management,caregiving,False,True,,,
ADQ-6cf39cb82e69,What are the treatments for Alzheimer's Caregiving ?,"Currently, no medication can cure Alzheimers disease, but four medicines are approved to treat the symptoms of the disease. - Aricept (donezepil)for all stages of Alzheimers - Exelon (rivastigmine)for mild to moderate Alzheimers - Razadyne...","NIH NIHSeniorHealth (via MedQuAD, CC BY 4.0)",MedQuAD:7_SeniorHealth_QA/0000003 | qid:0000003-14 | CUI:C0002395 | http://nihseniorhealth.gov/alzheimerscare/toc.html,2026-09,management,caregiving,False,False,,,
ADQ-b4429a6e8553,What causes Alzheimer's Disease ?,There are two types of Alzheimers diseaseearly-onset and late-onset.,"NIH NIHSeniorHealth (via MedQuAD, CC BY 4.0)",MedQuAD:7_SeniorHealth_QA/0000004 | qid:0000004-2 | CUI:C0002395 | http://nihseniorhealth.gov/alzheimersdisease/toc.html,2026-09,mechanism,aetiology,False,False,,,
ADQ-3db3412fc3f8,What are the symptoms of Alzheimer's Disease ?,Alzheimer's disease varies from person to person so not everyone will have the same symptoms.,"NIH NIHSeniorHealth (via MedQuAD, CC BY 4.0)",MedQuAD:7_SeniorHealth_QA/0000004 | qid:0000004-3 | CUI:C0002395 | http://nihseniorhealth.gov/alzheimersdisease/toc.html,2026-09,disease_course,symptoms,False,False,,,
ADQ-b72057cf3101,How to prevent Alzheimer's Disease ?,"Currently, no medicines or other treatments are known to prevent Alzheimers disease, but scientists are studying many possibilities.","NIH NIHSeniorHealth (via MedQuAD, CC BY 4.0)",MedQuAD:7_SeniorHealth_QA/0000004 | qid:0000004-4 | CUI:C0002395 | http://nihseniorhealth.gov/alzheimersdisease/toc.html,2026-09,prevention,risk_reduction,False,False,,,
ADQ-ee48a2e5fcec,How to diagnose Alzheimer's Disease ?,The only definitive way to diagnose Alzheimer's disease is to find out whether plaques and tangles exist in brain tissue.,"NIH NIHSeniorHealth (via MedQuAD, CC BY 4.0)",MedQuAD:7_SeniorHealth_QA/0000004 | qid:0000004-20 | CUI:C0002395 | http://nihseniorhealth.gov/alzheimersdisease/toc.html,2026-09,diagnosis,diagnostic_workup,False,False,,,
