chunk_id,document_id,source_tier,automatic_labels,automatic_confidence,automatic_evidence_levels,ad_relevant,ad_relevance_score,human_labels,annotator_notes
PMC6319808.1#Introduction.1,PMC6319808.1,peer_reviewed_primary,risk_factor;prognosis;pathology;differential_diagnosis;anti_amyloid_therapy;mechanism,0.092,reference_work,True,1.0,,
PMC4059967.1#Results.1,PMC4059967.1,peer_reviewed_primary,staging;prognosis;treatment_efficacy,0.033,case_control_study,True,0.8,,
PMC10634945.1#Materials and methods.13,PMC10634945.1,peer_reviewed_primary,systematic_evidence;association,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis,True,1.0,,
PMC6249274.1#Chelation With β-Amyloid Aggregation Inhibition.5,PMC6249274.1,peer_reviewed_primary,tau;imaging,0.067,,True,1.0,,
PMC11921967.1#Concluding remarks.2,PMC11921967.1,peer_reviewed_primary,treatment,0.057,,True,0.8,,
PMC8093438.1#Materials and Methods.1,PMC8093438.1,peer_reviewed_primary,treatment_efficacy,0.031,,True,0.8,,
PMC8147965.1#3. Results.1,PMC8147965.1,peer_reviewed_primary,treatment_safety;aria,0.05,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC7504258.1#3. Materials and Methods.7,PMC7504258.1,peer_reviewed_primary,,0.0,,True,1.0,,
PMC13137405.1#Cellular senescence and AD.4,PMC13137405.1,peer_reviewed_primary,amyloid;treatment_efficacy;treatment_safety;eligibility;monitoring,0.067,,True,1.0,,
PMC9798954.1#Results.15,PMC9798954.1,peer_reviewed_primary,anti_amyloid_therapy;systematic_evidence;mechanism,0.057,meta_analysis,False,0.0,,
PMC12797822.1#Results.16,PMC12797822.1,peer_reviewed_primary,apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;systematic_evidence,0.067,meta_analysis,True,1.0,,
PMC13184051.1#Results.72,PMC13184051.1,peer_reviewed_primary,aria,0.05,,True,0.8,,
PMC12173766.2#Methods.11,PMC12173766.2,peer_reviewed_primary,association,0.057,observational_study,True,0.8,,
PMC12241127.1#Results.12,PMC12241127.1,peer_reviewed_primary,biomarker;genetics;imaging;treatment_safety;mechanism,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,1.0,,
PMC4801877.1#Results.0,PMC4801877.1,peer_reviewed_primary,causation,0.057,,True,0.8,,
PMC12461165.1#DISCUSSION.7,PMC12461165.1,peer_reviewed_primary,diagnosis;pathology;biomarker;genetics;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;aria;eligibility;monitoring;guidelines_and_consensus;association;causation,0.067,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC5807905.1#Results.8,PMC5807905.1,peer_reviewed_primary,differential_diagnosis;anti_amyloid_therapy,0.04,basic_science_study,False,0.0,,
PMC6025150.1#Introduction.1,PMC6025150.1,peer_reviewed_primary,disease_definition;diagnosis;differential_diagnosis;treatment_efficacy;anti_amyloid_therapy;guidelines_and_consensus;mechanism;association,0.092,clinical_guideline,True,1.0,,
PMC8540544.1#3. Results.16,PMC8540544.1,peer_reviewed_primary,eligibility;systematic_evidence,0.057,meta_analysis,True,1.0,,
PMC12399695.1#Methods.3,PMC12399695.1,peer_reviewed_primary,epidemiology;risk_factor;diagnosis;prognosis;pathology;genetics;apoe;differential_diagnosis;treatment_safety;anti_amyloid_therapy;aria;mechanism,0.12,,False,0.0,,
PMC3090069.1#3. Results and Discussion.8,PMC3090069.1,peer_reviewed_primary,genetics,0.033,,True,0.8,,
PMC4292605.1#Methods.3,PMC4292605.1,peer_reviewed_primary,guidelines_and_consensus;systematic_evidence,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis;reference_work,True,0.8,,
PMC9576088.1#Results and discussion.1,PMC9576088.1,peer_reviewed_primary,imaging,0.057,,True,0.8,,
PMC9227586.1#2. Results and Discussion.7,PMC9227586.1,peer_reviewed_primary,mechanism,0.057,reference_work,False,0.0,,
PMC10071794.1#abstract.2,PMC10071794.1,peer_reviewed_primary,monitoring,0.067,reference_work,True,0.8,,
PMC4608514.1#Metadata curation.13,PMC4608514.1,peer_reviewed_primary,pathology;systematic_evidence,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis,True,0.8,,
PMC7982066.1#RESULTS.1,PMC7982066.1,peer_reviewed_primary,prognosis,0.033,case_control_study,True,0.8,,
PMC13207114.1#7. Hericium erinaceus (Lion’s Mane).0,PMC13207114.1,peer_reviewed_primary,risk_factor;staging;prognosis;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;mechanism;causation,0.067,cross_sectional_study,False,0.0,,
PMC13304901.1#Findings.14,PMC13304901.1,peer_reviewed_primary,staging;genetics;differential_diagnosis;treatment_safety;anti_amyloid_therapy;causation,0.08,,False,0.0,,
PMC10940909.1#Contributors.0,PMC10940909.1,peer_reviewed_primary,systematic_evidence,0.057,randomized_controlled_trial;systematic_review;narrative_review,False,0.0,,
PMC3037338.1#Conclusions.0,PMC3037338.1,peer_reviewed_primary,tau;treatment,0.067,,True,0.8,,
PMC5963839.1#Amyloid-disaggregase machineries.3,PMC5963839.1,peer_reviewed_primary,treatment,0.057,,True,0.8,,
PMC6182540.1#title.0,PMC6182540.1,peer_reviewed_primary,treatment_efficacy,0.031,,False,0.0,,
PMC7739489.1#Results and Discussion.12,PMC7739489.1,peer_reviewed_primary,treatment_safety,0.036,case_control_study,True,0.8,,
PMC6262461.1#Methods.3,PMC6262461.1,peer_reviewed_primary,,0.0,basic_science_study,True,0.8,,
PMC10300452.1#Glymphatic system and NDG.10,PMC10300452.1,peer_reviewed_primary,amyloid;genetics;anti_amyloid_therapy;systematic_evidence,0.067,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;evidence_synthesis,False,0.0,,
PMC5478665.1#Materials and Methods.1,PMC5478665.1,peer_reviewed_primary,anti_amyloid_therapy,0.031,,True,0.8,,
PMC10234728.1#2. Materials and Methods.6,PMC10234728.1,peer_reviewed_primary,apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;mechanism,0.067,,True,0.8,,
PMC3065743.1#Materials and Methods.3,PMC3065743.1,peer_reviewed_primary,aria,0.05,,True,0.8,,
PMC9203050.1#MCFAs and MCTs.3,PMC9203050.1,peer_reviewed_primary,association,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC11943422.1#3. Discussions.14,PMC11943422.1,peer_reviewed_primary,biomarker;apoe;imaging;treatment_efficacy;anti_amyloid_therapy;mechanism,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC12044310.1#Results.10,PMC12044310.1,peer_reviewed_primary,causation,0.057,case_control_study,False,0.0,,
PMC9108583.1#RESULTS.1,PMC9108583.1,peer_reviewed_primary,diagnosis;biomarker;genetics;apoe;differential_diagnosis;anti_amyloid_therapy;aria;eligibility;systematic_evidence;association,0.1,case_control_study;meta_analysis,True,1.0,,
PMC12646100.1#Results.3,PMC12646100.1,peer_reviewed_primary,differential_diagnosis;anti_amyloid_therapy,0.04,,True,1.0,,
PMC7534330.1#Conclusions.0,PMC7534330.1,peer_reviewed_primary,disease_definition;diagnosis;differential_diagnosis;treatment_efficacy;anti_amyloid_therapy;guidelines_and_consensus;mechanism;association;causation,0.114,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;clinical_guideline,True,0.8,,
PMC13063624.1#Results.1,PMC13063624.1,peer_reviewed_primary,eligibility;causation,0.057,,True,0.8,,
PMC6613238.1#Discussion.0,PMC6613238.1,peer_reviewed_primary,epidemiology;risk_factor;staging;prognosis;genetics;apoe;treatment_efficacy;treatment_safety;aria;eligibility,0.16,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,1.0,,
PMC5435744.1#Discussion.4,PMC5435744.1,peer_reviewed_primary,genetics;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;mechanism,0.067,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,1.0,,
PMC9108428.1#Materials and Methods.1,PMC9108428.1,peer_reviewed_primary,guidelines_and_consensus,0.036,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC10253378.1#3. GM1 Distribution in the Central Nervous System.0,PMC10253378.1,peer_reviewed_primary,imaging;differential_diagnosis;anti_amyloid_therapy,0.057,,True,0.8,,
PMC7729479.1#3. Materials and Methods.3,PMC7729479.1,peer_reviewed_primary,mechanism,0.057,,True,1.0,,
PMC11772714.1#RESULTS.10,PMC11772714.1,peer_reviewed_primary,monitoring;systematic_evidence,0.067,meta_analysis,True,0.8,,
PMC10581139.1#Materials and Methods.4,PMC10581139.1,peer_reviewed_primary,pathology;biomarker,0.036,,False,0.0,,
PMC5233962.1#Methods.0,PMC5233962.1,peer_reviewed_primary,prognosis;guidelines_and_consensus,0.036,,True,0.8,,
PMC6418242.1#Results.12,PMC6418242.1,peer_reviewed_primary,risk_factor;prognosis;pathology;genetics;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;systematic_evidence;causation,0.114,meta_analysis,True,0.8,,
PMC6317289.1#Discussion.3,PMC6317289.1,peer_reviewed_primary,staging;prognosis;imaging;differential_diagnosis;treatment_efficacy,0.1,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC8105157.1#AUTHOR CONTRIBUTIONS.0,PMC8105157.1,peer_reviewed_primary,systematic_evidence,0.057,systematic_review;narrative_review,True,1.0,,
PMC5505701.1#Results.46,PMC5505701.1,peer_reviewed_primary,tau;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.067,,True,0.8,,
PMC12647681.1#Results and discussion.23,PMC12647681.1,peer_reviewed_primary,treatment,0.057,,True,0.8,,
PMC13107236.1#DISCUSSION.4,PMC13107236.1,peer_reviewed_primary,treatment_efficacy,0.031,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC12024045.1#2. Hyperactivity of NADPH Oxidase in Neurodegenerative Diseases.11,PMC12024045.1,peer_reviewed_primary,treatment_safety;mechanism,0.057,,False,0.0,,
PMC13012115.1#Results.1,PMC13012115.1,peer_reviewed_primary,,0.0,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC12832453.1#Methods.8,PMC12832453.1,peer_reviewed_primary,amyloid;genetics;treatment_safety,0.067,randomized_controlled_trial,False,0.0,,
PMC11627476.1#INTERACTIONS OF CCK WITH OTHER NEUROTRANSMITTERS.6,PMC11627476.1,peer_reviewed_primary,anti_amyloid_therapy;systematic_evidence,0.057,evidence_synthesis,True,0.8,,
PMC7997513.1#RESULTS.7,PMC7997513.1,peer_reviewed_primary,apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.067,,True,1.0,,
PMC11752725.1#Discussion.8,PMC11752725.1,peer_reviewed_primary,aria;guidelines_and_consensus,0.05,clinical_guideline,False,0.0,,
PMC11079321.1#Results.30,PMC11079321.1,peer_reviewed_primary,association,0.057,case_control_study;cross_sectional_study;observational_study,True,0.8,,
PMC12112302.1#2. Results.1,PMC12112302.1,peer_reviewed_primary,biomarker;genetics;differential_diagnosis;anti_amyloid_therapy;aria;association,0.057,,True,1.0,,
PMC12449598.1#Implications for therapy.8,PMC12449598.1,peer_reviewed_primary,causation,0.057,,True,0.8,,
PMC12871733.1#Materials and Methods.5,PMC12871733.1,peer_reviewed_primary,diagnosis;pathology,0.031,case_control_study;reference_work,True,1.0,,
PMC3116508.1#Results and Discussion.23,PMC3116508.1,peer_reviewed_primary,differential_diagnosis;anti_amyloid_therapy,0.04,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC3181675.1#Estrogen and stroke.4,PMC3181675.1,peer_reviewed_primary,disease_definition;epidemiology;risk_factor;diagnosis;prognosis;genetics;apoe;differential_diagnosis;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;aria;guidelines_and_consensus;association,0.08,clinical_guideline,True,0.8,,
PMC4709424.1#A plea for methodological improvements and experimental approaches.0,PMC4709424.1,peer_reviewed_primary,eligibility;systematic_evidence;causation,0.057,case_control_study;evidence_synthesis,True,0.8,,
PMC5619212.1#METHODS.0,PMC5619212.1,peer_reviewed_primary,epidemiology;staging;prognosis;imaging;treatment_efficacy;eligibility,0.067,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC7093163.1#MATERIALS AND METHODS.4,PMC7093163.1,peer_reviewed_primary,genetics;differential_diagnosis;aria;systematic_evidence,0.057,meta_analysis;reference_work,True,1.0,,
PMC4848814.1#Methods.7,PMC4848814.1,peer_reviewed_primary,guidelines_and_consensus;systematic_evidence,0.057,systematic_review;narrative_review,True,0.8,,
PMC11292818.1#Results and Discussion.8,PMC11292818.1,peer_reviewed_primary,imaging;systematic_evidence,0.057,case_control_study;meta_analysis,True,1.0,,
PMC8930842.1#The Contribution of Platelets to Both Thrombosis and Inflammation in Neurovascular Disease.3,PMC8930842.1,peer_reviewed_primary,mechanism,0.057,,False,0.0,,
PMC6945413.1#Methods.7,PMC6945413.1,peer_reviewed_primary,monitoring;systematic_evidence,0.067,randomized_controlled_trial;cross_sectional_study;meta_analysis,True,0.8,,
PMC5379578.1#Results.25,PMC5379578.1,peer_reviewed_primary,pathology;amyloid;apoe;imaging;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.08,,True,0.8,,
PMC9654738.1#1. Introduction.3,PMC9654738.1,peer_reviewed_primary,prognosis;pathology;imaging;treatment_efficacy,0.062,,False,0.0,,
PMC11232431.1#1 Introduction.4,PMC11232431.1,peer_reviewed_primary,risk_factor;tau;genetics,0.067,,True,1.0,,
PMC12665671.1#Brain insulin signaling dysregulation.0,PMC12665671.1,peer_reviewed_primary,staging;prognosis;pathology;treatment_efficacy;systematic_evidence,0.067,evidence_synthesis,True,0.8,,
PMC7494756.1#Serotonergic Inputs to the Circadian System.0,PMC7494756.1,peer_reviewed_primary,systematic_evidence,0.057,evidence_synthesis,True,1.0,,
PMC2441439.1#Methods.2,PMC2441439.1,peer_reviewed_primary,tau,0.067,case_control_study,False,0.0,,
PMC12353841.1#Discussion.6,PMC12353841.1,peer_reviewed_primary,treatment;anti_amyloid_therapy;mechanism,0.057,,True,0.8,,
PMC6953299.1#Methods.2,PMC6953299.1,peer_reviewed_primary,treatment_efficacy,0.031,basic_science_study,False,0.0,,
PMC13052373.1#Materials and Methods.4,PMC13052373.1,peer_reviewed_primary,treatment_safety,0.036,,True,1.0,,
PMC5647431.1#Results.13,PMC5647431.1,peer_reviewed_primary,,0.0,,True,1.0,,
PMC4064704.1#Nanowire synthesis and integration.2,PMC4064704.1,peer_reviewed_primary,amyloid;differential_diagnosis;anti_amyloid_therapy;systematic_evidence,0.067,case_control_study;evidence_synthesis,True,0.8,,
PMC9836371.1#METHODS AND MATERIALS.5,PMC9836371.1,peer_reviewed_primary,anti_amyloid_therapy;systematic_evidence,0.062,meta_analysis,True,1.0,,
PMC8361422.1#Results.3,PMC8361422.1,peer_reviewed_primary,apoe;treatment_efficacy;treatment_safety;anti_amyloid_therapy,0.057,,True,1.0,,
PMC9100236.1#3. Materials and Methods.1,PMC9100236.1,peer_reviewed_primary,aria;systematic_evidence,0.057,meta_analysis,True,0.8,,
PMC6858249.1#Ethics and dissemination.0,PMC6858249.1,peer_reviewed_primary,association,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC4518529.1#Materials and methods.1,PMC4518529.1,peer_reviewed_primary,biomarker,0.036,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC4809883.1#Materials and Methods.12,PMC4809883.1,peer_reviewed_primary,causation,0.057,,False,0.0,,
PMC12711906.1#Materials and methods.7,PMC12711906.1,peer_reviewed_primary,diagnosis;staging;prognosis;biomarker;tau;imaging;differential_diagnosis;treatment_efficacy;monitoring;association,0.067,,True,0.8,,
PMC10057836.1#Supporting information.5,PMC10057836.1,peer_reviewed_primary,differential_diagnosis,0.04,case_control_study,False,0.0,,
PMC5875681.1#Study design.0,PMC5875681.1,peer_reviewed_primary,disease_definition;diagnosis;staging;prognosis;differential_diagnosis;treatment_efficacy;anti_amyloid_therapy;eligibility;guidelines_and_consensus;association,0.08,randomized_controlled_trial;cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;clinical_guideline,False,0.0,,
PMC7547722.1#Results.3,PMC7547722.1,peer_reviewed_primary,eligibility,0.04,,True,0.8,,
PMC9677106.1#Results.0,PMC9677106.1,peer_reviewed_primary,epidemiology;risk_factor;staging;prognosis;genetics;apoe;treatment_safety;aria;eligibility,0.089,,False,0.0,,
PMC9181281.1#2. Results.1,PMC9181281.1,peer_reviewed_primary,genetics;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;mechanism,0.067,,True,0.8,,
PMC12891800.1#Discussion.6,PMC12891800.1,peer_reviewed_primary,guidelines_and_consensus,0.036,basic_science_study,False,0.0,,
PMC4476499.1#RESULTS.1,PMC4476499.1,peer_reviewed_primary,imaging,0.057,cross_sectional_study,True,0.8,,
PMC8267942.1#The Role of the Microbiota During Aging.2,PMC8267942.1,peer_reviewed_primary,mechanism,0.057,,False,0.0,,
PMC11984831.1#title.0,PMC11984831.1,peer_reviewed_primary,monitoring,0.067,,True,0.8,,
PMC10328077.1#Results.29,PMC10328077.1,peer_reviewed_primary,pathology;apoe;aria;systematic_evidence,0.057,meta_analysis,True,0.8,,
PMC11851134.1#RESULTS.10,PMC11851134.1,peer_reviewed_primary,prognosis;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.067,,True,1.0,,
PMC10588520.1#RESULTS.9,PMC10588520.1,peer_reviewed_primary,risk_factor;prognosis;pathology;amyloid;genetics;apoe;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.067,,False,0.0,,
PMC11247525.1#Covariates.1,PMC11247525.1,peer_reviewed_primary,staging;prognosis;treatment_efficacy;eligibility,0.04,,False,0.0,,
PMC6203493.1#Author contributions.0,PMC6203493.1,peer_reviewed_primary,systematic_evidence,0.114,systematic_review;meta_analysis;narrative_review,True,0.8,,
PMC10682081.1#Results.10,PMC10682081.1,peer_reviewed_primary,tau;genetics;apoe;systematic_evidence,0.067,case_control_study;meta_analysis,True,0.8,,
PMC8936429.1#Discussion.1,PMC8936429.1,peer_reviewed_primary,treatment,0.057,,True,0.8,,
PMC8834788.1#4. Materials and Methods.1,PMC8834788.1,peer_reviewed_primary,treatment_efficacy;anti_amyloid_therapy,0.062,case_control_study;basic_science_study,True,0.8,,
PMC6526552.1#2. Materials and Methods.8,PMC6526552.1,peer_reviewed_primary,treatment_safety,0.036,cross_sectional_study,True,0.8,,
PMC12489083.1#Methods.137,PMC12489083.1,peer_reviewed_primary,,0.0,regulatory_document,True,0.8,,
PMC11830630.1#Discussion.4,PMC11830630.1,peer_reviewed_primary,amyloid;mechanism,0.067,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC12627967.1#RESULTS.32,PMC12627967.1,peer_reviewed_primary,anti_amyloid_therapy;systematic_evidence,0.057,meta_analysis,True,1.0,,
PMC10959724.1#Results and discussion.13,PMC10959724.1,peer_reviewed_primary,apoe;systematic_evidence,0.057,meta_analysis,False,0.0,,
PMC11452237.1#abstract.1,PMC11452237.1,peer_reviewed_primary,aria,0.05,,False,0.0,,
PMC8600328.1#Materials and Methods.9,PMC8600328.1,peer_reviewed_primary,association,0.057,observational_study,False,0.0,,
PMC5427148.1#Results.6,PMC5427148.1,peer_reviewed_primary,biomarker;apoe;imaging;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus;mechanism,0.114,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC11773889.1#Methods.4,PMC11773889.1,peer_reviewed_primary,causation,0.057,,False,0.0,,
PMC3897376.1#Discussion.3,PMC3897376.1,peer_reviewed_primary,diagnosis;staging;prognosis;apoe;imaging;differential_diagnosis;treatment;treatment_efficacy;treatment_safety;anti_amyloid_therapy;eligibility;monitoring;guidelines_and_consensus,0.114,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC12092004.1#Results.34,PMC12092004.1,peer_reviewed_primary,differential_diagnosis;treatment_efficacy;treatment_safety;anti_amyloid_therapy,0.04,,False,0.0,,
PMC13065560.1#Discussion.2,PMC13065560.1,peer_reviewed_primary,disease_definition;epidemiology;risk_factor;diagnosis;staging;prognosis;pathology;genetics;apoe;differential_diagnosis;treatment_efficacy;treatment_safety;anti_amyloid_therapy;aria;guidelines_and_consensus;systematic_evidence;mechanism;association;causation,0.16,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study;meta_analysis;clinical_guideline,False,0.0,,
PMC5797798.1#title.0,PMC5797798.1,peer_reviewed_primary,eligibility,0.04,,True,0.8,,
PMC9077922.1#Methods.8,PMC9077922.1,peer_reviewed_primary,epidemiology;anti_amyloid_therapy;causation,0.057,,True,0.8,,
PMC4892497.1#2 Methods.1,PMC4892497.1,peer_reviewed_primary,genetics,0.033,,True,0.8,,
PMC12413483.1#Ethics Statement.0,PMC12413483.1,peer_reviewed_primary,guidelines_and_consensus,0.036,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC7560206.1#Discussion.0,PMC7560206.1,peer_reviewed_primary,imaging,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,0.8,,
PMC11160922.1#Material and Methods.6,PMC11160922.1,peer_reviewed_primary,mechanism,0.057,,True,0.8,,
PMC13424306.1#title.0,PMC13424306.1,peer_reviewed_primary,monitoring,0.067,,False,0.0,,
PMC13001429.1#Results and Discussion.3,PMC13001429.1,peer_reviewed_primary,pathology;mechanism,0.062,,True,0.8,,
PMC12282806.1#4. Discussion.9,PMC12282806.1,peer_reviewed_primary,prognosis;treatment_efficacy;guidelines_and_consensus,0.036,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC7339395.1#Results.3,PMC7339395.1,peer_reviewed_primary,risk_factor;diagnosis;staging;pathology;differential_diagnosis;treatment_efficacy;systematic_evidence;mechanism,0.08,meta_analysis,False,0.0,,
PMC10335564.1#Discussion.6,PMC10335564.1,peer_reviewed_primary,staging;differential_diagnosis,0.04,,False,0.0,,
PMC12658102.1#Results.5,PMC12658102.1,peer_reviewed_primary,systematic_evidence,0.057,case_control_study;meta_analysis,False,0.0,,
PMC13097314.1#Materials and methods.3,PMC13097314.1,peer_reviewed_primary,tau;differential_diagnosis;systematic_evidence,0.067,evidence_synthesis,True,1.0,,
PMC3995993.1#Results.0,PMC3995993.1,peer_reviewed_primary,treatment,0.057,cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,True,1.0,,
PMC8901416.1#Efficacy.2,PMC8901416.1,peer_reviewed_primary,treatment_efficacy;treatment_safety;eligibility;monitoring,0.067,randomized_controlled_trial;cohort_study;case_control_study;cross_sectional_study;diagnostic_accuracy_study;observational_study;basic_science_study,False,0.0,,
PMC12246583.1#Materials and methods.3,PMC12246583.1,peer_reviewed_primary,treatment_safety;systematic_evidence,0.057,meta_analysis,True,0.8,,
PMC13043544.1#Discussion.3,PMC13043544.1,peer_reviewed_primary,,0.0,reference_work,True,1.0,,
PMC8889014.1#Therapeutic Applications.7,PMC8889014.1,peer_reviewed_primary,amyloid;apoe;treatment_efficacy;treatment_safety;anti_amyloid_therapy;mechanism,0.067,,True,0.8,,
PMC4508249.1#Materials and Methods.3,PMC4508249.1,peer_reviewed_primary,anti_amyloid_therapy,0.031,,False,0.0,,
